Identifiant_de_l_etablissement,Nom_etablissement,Type_etablissement,Statut_public_prive,Adresse_1,Adresse_2,Adresse_3,Code postal,Code_commune,Nom_commune,Code_departement,Code_academie,Code_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Apprentissage,Segpa,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Lycee_des_metiers,Post_BAC,Appartenance_Education_Prioritaire,GRETA,SIREN_SIRET,Nombre_d_eleves,Fiche_onisep,position,Type_contrat_prive,Libelle_departement,Libelle_academie,Libelle_region,coordonnee_X,coordonnee_Y,epsg,nom_circonscription,latitude,longitude,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,etablissement_multi_lignes,rpi_concentre,rpi_disperse,code_nature,libelle_nature,Code_type_contrat_prive,PIAL,etablissement_mere,type_rattachement_etablissement_mere,code_bassin_formation,libelle_bassin_formation
0772911W,Ecole primaire Kalyma,Ecole,Privé,2 route de Puiseaux,,77540 LE PLESSIS FEU AUSSOUX,77540,77365,Le Plessis-Feu-Aussoux,77,24,11,1,1,,,,622658339,,,ce.0772911W@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.70908268,,,,,,,,,,,,,,,,,,,,,,,,,,
0780138B,Ecole élémentaire privée Sainte Marie des Bourdonnais,Ecole,Privé,40 rue des Bourdonnais,,78000 VERSAILLES,78000,78646,Versailles,78,25,11,1,1,,,,139501983,,,ce.0780138B@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,3.89E+13,,,48.79485667,,,,,,,,,,,,,,,,,,,,,,,,,,
0780142F,Ecole élémentaire privée Les Châtaigniers,Ecole,Privé,11 bis avenue Jean Jaurès,,78000 VERSAILLES,78000,78646,Versailles,78,25,11,1,1,,,,139231818,,,ce.0780142F@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.81688128,,,,,,,,,,,,,,,,,,,,,,,,,,
0782088W,Ecole élémentaire privée - Les Sources,Ecole,Privé,13 allée des Romarins,,78180 MONTIGNY LE BRETONNEUX,78180,78423,Montigny-le-Bretonneux,78,25,11,1,1,,,,130600721,,,ce.0782088W@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.92E+13,,,48.78244513,,,,,,,,,,,,,,,,,,,,,,,,,,
0783680B,Ecole élémentaire privée International Montessori Athéna,Ecole,Privé,29 rue de Noisy,,78870 BAILLY,78870,78043,Bailly,78,25,11,1,1,,,,631054134,,,administratif@montessoriathena.com,0,0,0,,,,,,,,,,,,,,,,,,48.84346426,,,,,,,,,,,,,,,,,,,,,,,,,,
0912352M,Ecole Elémentaire privée Groupe Scolaire Excellence,Ecole,Privé,22 rue Robinson,,91100 CORBEIL ESSONNES,91100,91174,Corbeil-Essonnes,91,25,11,0,1,,,,984344550,,,rh@groupe-scolaire-excellence.com,0,0,0,,,,,,,,,,,,,,,,,,48.60602863,,,,,,,,,,,,,,,,,,,,,,,,,,
0755564R,E.P.PR ECOLE GALILEE 43 rue François Gérard,Ecole,Privé,71 rue Chardon Lagache,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,146479921,,,contact@ecolegalilee.fr,0,0,0,,,,,,,,,,,,,,,,,,48.84843522,,,,,,,,,,,,,,,,,,,,,,,,,,
0780055L,Ecole élémentaire privée Sainte Agnès,Ecole,Privé,27 rue Jean Mermoz,,78000 VERSAILLES,78000,78646,Versailles,78,25,11,1,1,,,,139515848,,,ce.0780055L@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.79608474,,,,,,,,,,,,,,,,,,,,,,,,,,
0780104P,Ecole élémentaire privée Notre-Dame,Ecole,Privé,34 boulevard de la Reine,,78000 VERSAILLES,78000,78646,Versailles,78,25,11,1,1,,,,139507313,,,ce.0780104P@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.8091906,,,,,,,,,,,,,,,,,,,,,,,,,,
0783649T,Ecole élémentaire privée de l'Institut,Ecole,Privé,3 rue Francois Geoffre,,78180 MONTIGNY LE BRETONNEUX,78180,78423,Montigny-le-Bretonneux,78,25,11,0,1,,,,952925680,,,contact@ifsq.org,1,0,0,,,,,,,,,,,,,,,,,,48.77671408,,,,,,,,,,,,,,,,,,,,,,,,,,
0756482N,E.P.PR The Lennen Bilingual School 59 bis avenue de Ségur,Ecole,Privé,59 bis avenue de Ségur,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,0,1,,,,,,,aml@lennenbilingual.com,0,0,0,,,,,,,,,,,,,,,,,,,HORS CONTRAT,Paris,Paris,Ile-de-France,,,,Circonscription d'inspection du 1er degré de Paris 7-8 Invalides-Etoile,,,,17/12/2022,21/07/2023,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0,,151,ECOLE DE NIVEAU ELEMENTAIRE,10,,,,,
0750142X,E.P.PR SAINT JEAN GABRIEL 6 rue du Cloître Saint Merri,Ecole,Privé,6 rue du Cloître Saint Merri,,75004 PARIS,75004,75104,Paris  4e  Arrondissement,75,1,11,1,1,,,,142784481,,,ce.0750142X@ac-paris.fr,1,0,1,,,,,,,,,,,,,,,3.26E+13,180,,48.85895599,,,,,,,,,,,,,,,,,,,,,,,,,,
0750148D,E.P.PR SINAI 2 rue Tristan Tzara,Ecole,Privé,2 rue Tristan Tzara,,75018 PARIS,75018,75118,Paris 18e  Arrondissement,75,1,11,1,1,,,,140381650,,,ce.0750148d@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,3.83E+13,,,48.89454339,,,,,,,,,,,,,,,,,,,,,,,,,,
0750149E,E.P.PR SAINTE-CATHERINE 13 bis rue des Bernardins,Ecole,Privé,13 bis rue des Bernardins,,75005 PARIS,75005,75105,Paris  5e  Arrondissement,75,1,11,1,1,,,,143255789,,,ce.0750149e@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,168,,48.85024362,,,,,,,,,,,,,,,,,,,,,,,,,,
0750164W,E.P.PR BOSSUET 51 rue Madame,Ecole,Privé,51 rue Madame,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,1,,,,142220176,,,ce.0750164W@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,221,,48.84808784,,,,,,,,,,,,,,,,,,,,,,,,,,
0750168A,E.P.PR SAINTE-MARIE DE SION 93 rue Notre Dame des Champs,Ecole,Privé,93 rue Notre Dame des Champs,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,1,,,,143266908,,,ce.0750168a@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,361,,48.84186335,,,,,,,,,,,,,,,,,,,,,,,,,,
0750176J,E.P.PR SAINTE-CLOTILDE 77 rue de Grenelle,Ecole,Privé,77 rue de Grenelle,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,1,,,,145487219,,,ce.0750176J@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,335,,48.85559106,,,,,,,,,,,,,,,,,,,,,,,,,,
0750185U,E.P.PR SAINTE-JEANNE ELISABETH 49 avenue duquesne,Ecole,Privé,49 avenue Duquesne,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,1,,,,147349794,,,ce.0750185U@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,3.35E+13,243,,48.8496727,,,,,,,,,,,,,,,,,,,,,,,,,,
0750203N,E.P.PR FENELON SAINTE-MARIE 95 rue de Monceau,Ecole,Privé,95 rue de Monceau,,75008 PARIS,75008,75108,Paris  8e  Arrondissement,75,1,11,1,1,,,,145227774,,,ce.0750203N@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,427,,48.88063787,,,,,,,,,,,,,,,,,,,,,,,,,,
0750209V,E.P.PR NOTRE-DAME DE LORETTE 8 ter rue Choron,Ecole,Privé,8 ter rue Choron,,75009 PARIS,75009,75109,Paris  9e  Arrondissement,75,1,11,1,1,,,,148785480,,,ce.0750209V@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,379,,48.87749743,,,,,,,,,,,,,,,,,,,,,,,,,,
0750212Y,E.P.PR BOSSUET-NOTRE-DAME 56 rue d'Hauteville,Ecole,Privé,56 rue d'Hauteville,,75010 PARIS,75010,75110,Paris 10e  Arrondissement,75,1,11,1,1,,,,145233404,,,ce.0750212Y@ac-paris.fr,1,0,1,,,,,,,,,,,,,,,7.84E+13,313,,48.87438336,,,,,,,,,,,,,,,,,,,,,,,,,,
0750218E,E.P.PR SAINT-JOSEPH 154 rue Saint Maur,Ecole,Privé,154 rue Saint Maur,,75011 PARIS,75011,75111,Paris 11e  Arrondissement,75,1,11,1,1,,,,148070455,,,ce.0750218E@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,223,,48.86924208,,,,,,,,,,,,,,,,,,,,,,,,,,
0750219F,E.P.PR SAINT-VINCENT DE PAUL 6 rue de Rocroy,Ecole,Privé,6 rue de Rocroy,,75010 PARIS,75010,75110,Paris 10e  Arrondissement,75,1,11,1,1,,,,144534040,,,ce.0750219F@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.84E+13,413,,48.87897092,,,,,,,,,,,,,,,,,,,,,,,,,,
0750222J,E.E.PR CHARLES PEGUY 102 rue Amelot,Ecole,Privé,102 rue Amelot,,75011 PARIS,75011,75111,Paris 11e  Arrondissement,75,1,11,0,1,,,,147009042,,,ce.0750222J@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.76E+13,256,,48.86239211,,,,,,,,,,,,,,,,,,,,,,,,,,
0750261B,E.P.PR CHARLES DE FOUCAULD 12 rue des Jonquilles,Ecole,Privé,12 rue des Jonquilles,,75014 PARIS,75014,75114,Paris 14e  Arrondissement,75,1,11,1,1,,,,145431817,,,ce.0750261B@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.83026694,,,,,,,,,,,,,,,,,,,,,,,,,,
0750292K,E.P.PR PASCAL 33 boulevard Lannes,Ecole,Privé,33 boulevard Lannes,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,145041423,,,ce.0750292K@ac-paris.fr,1,1,0,,,,,,,,,,,,,,,6.92E+13,,,48.86698386,,,,,,,,,,,,,,,,,,,,,,,,,,
0750297R,E.P.PR NOTRE-DAME DES OISEAUX 21 rue Erlanger,Ecole,Privé,21 rue Erlanger,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,142880252,,,ce.0750297R@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,5.72E+13,,,48.84648975,,,,,,,,,,,,,,,,,,,,,,,,,,
0750326X,E.E.PR SAINTE-MARIE DES BATIGNOLLES 77 rue Truffaut,Ecole,Privé,77 rue Truffaut,,75017 PARIS,75017,75117,Paris 17e  Arrondissement,75,1,11,0,1,,,,146273349,,,ce.0750326X@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.88788033,,,,,,,,,,,,,,,,,,,,,,,,,,
0750349X,E.P.PR SAINT-GEORGES 17 rue Bouret,Ecole,Privé,17 rue Bouret,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,1,,,,140404052,,,ce.0750349X@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.88109707,,,,,,,,,,,,,,,,,,,,,,,,,,
0750353B,E.P.PR SAINTE-THERESE 5 rue Léon Giraud,Ecole,Privé,5 rue Léon Giraud,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,1,,,,142029029,,,ce.0750353B@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.88744694,,,,,,,,,,,,,,,,,,,,,,,,,,
0750358G,E.P.PR LA PROVIDENCE 9 passage de la Providence,Ecole,Privé,9 passage de la Providence,,75020 PARIS,75020,75120,Paris 20e  Arrondissement,75,1,11,1,1,,,,143709096,,,ce.0750358G@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.8540508,,,,,,,,,,,,,,,,,,,,,,,,,,
0750601W,E.P.PR LUCIEN DE HIRSCH 68 avenue Secrétan,Ecole,Privé,68 avenue Secrétan,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,1,,,,142088414,,,ce.0750601W@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.87981926,,,,,,,,,,,,,,,,,,,,,,,,,,
0754829S,E.P.PR HORIZON MONTESSORI 6 rue Gourdault,Ecole,Privé,6 rue Gourdault,,75013 PARIS,75013,75113,Paris 13e  Arrondissement,75,1,11,1,1,,,,153820102,,,horizonmontessori@noos.fr,1,0,0,,,,,,,,,,,,,,,4.08E+13,,,48.83185769,,,,,,,,,,,,,,,,,,,,,,,,,,
0754934F,E.M.PR MONTESSORI KIDS 28 rue du Fer à Moulin,Ecole,Privé,28 rue du Fer à Moulin,,75005 PARIS,75005,75105,Paris  5e  Arrondissement,75,1,11,1,0,,,,145654961,,,ecolemk@gmail.com,1,0,0,,,,,,,,,,,,,,,3.31E+13,,,48.83900727,,,,,,,,,,,,,,,,,,,,,,,,,,
0754935G,E.P.PR PETITE EC BILING STEWART INTER 8 place de la Porte Champerret,Ecole,Privé,8 place de la Porte Champerret,,75017 PARIS,75017,75117,Paris 17e  Arrondissement,75,1,11,1,1,,,,143802534,,,contact@stewartintschool.com,1,0,0,,,,,,,,,,,,,,,,,,48.88604523,,,,,,,,,,,,,,,,,,,,,,,,,,
0755191K,E.P.PR ALLIANCE RACHI 2 rue Emile Borel,Ecole,Privé,2 rue Emile Borel,,75017 PARIS,75017,75117,Paris 17e  Arrondissement,75,1,11,1,1,,,,170087510,,,ce.0755191k@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,,,,48.89912931,,,,,,,,,,,,,,,,,,,,,,,,,,
0755460C,E.M.PR FIRST STEPS 7 bis rue Emile duclaux,Ecole,Privé,7 bis rue Emile Duclaux,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,0,,,,142190214,,,abbassidawn@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.84277676,,,,,,,,,,,,,,,,,,,,,,,,,,
0755471P,E.P.PR SAINT JEAN 89 rue Olivier de Serres,Ecole,Privé,89 rue Olivier de Serres,,75015 PARIS,75015,75115,Paris 15e  Arrondissement,75,1,11,1,1,,,,140651538,,,ce.0755471p@ac-paris.fr,1,0,0,,,,,,,,,,,,,,,,,,48.83234102,,,,,,,,,,,,,,,,,,,,,,,,,,
0755729V,E.M.PR ECOLE A.P.E. 4 rue de Fleurus,Ecole,Privé,4 rue de Fleurus,,75006 PARIS,75006,75106,Paris  6e  Arrondissement,75,1,11,1,0,,,,142221844,,,ecoleape@yahoo.fr,0,0,0,,,,,,,,,,,,,,,,,,48.84711135,,,,,,,,,,,,,,,,,,,,,,,,,,
0755864S,E.P.PR MONTESSORI 3 rue Papin,Ecole,Privé,3 rue Papin,,75003 PARIS,75003,75103,Paris  3e  Arrondissement,75,1,11,1,1,,,,649178574,,,ecolemontessori3ruepapin@gmail.com,0,0,0,,,,,,,,,,,,,,,8.25E+13,,,48.8667763,,,,,,,,,,,,,,,,,,,,,,,,,,
0755878G,E.P.PR ECOLE DEMOCRATIQUE DE PARIS 6 rue Léon Giraud,Ecole,Privé,6 rue Léon Giraud,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,1,,,,952325562,,,info@ecole-democratique-paris.org,0,0,0,,,,,,,,,,,,,,,8.23E+13,,,48.88730913,,,,,,,,,,,,,,,,,,,,,,,,,,
0755988B,E.M.PR M 48 allée Darius Milhaud,Ecole,Privé,48 allée Darius Milhaud,,75019 PARIS,75019,75119,Paris 19e  Arrondissement,75,1,11,1,0,,,,184803530,,,contact@ecolem.fr,0,0,0,,,,,,,,,,,,,,,8.30E+13,,,48.88439733,,,,,,,,,,,,,,,,,,,,,,,,,,
0755991E,Ecole élémentaire privée Wi School,Ecole,Privé,2 rue Thimonnier,,75009 PARIS,75009,75109,Paris  9e  Arrondissement,75,1,11,1,1,,,,140099895,,,fbelot@wi-school.com,0,0,0,,,,,,,,,,,,,,,,,,48.88006213,,,,,,,,,,,,,,,,,,,,,,,,,,
0756007X,E.E.PR CONCORDIA BILINGUAL SCHOOL 41 avenue de la Grande Armée,Ecole,Privé,41 avenue de la Grande Armée,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,182092863,,,aurore@concordiaschoolparis.fr,0,0,0,,,,,,,,,,,,,,,,,,48.8753013,,,,,,,,,,,,,,,,,,,,,,,,,,
0756088K,E.M.PR ECOLE MONTESSORI SQUARE 25 rue d'Orsel,Ecole,Privé,25 rue d'Orsel,,75018 PARIS,75018,75118,Paris 18e  Arrondissement,75,1,11,1,0,,,,986118061,,,fondatrice@montessori-square.com,0,0,0,,,,,,,,,,,,,,,8.51E+13,,,48.88383876,,,,,,,,,,,,,,,,,,,,,,,,,,
0756117S,E.P.PR MONTESSORI ESCLAIBES 43 rue François Gérard,Ecole,Privé,43 rue François Gérard,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,648721829,,,paris@montessoriesclaibes.com,0,0,0,,,,,,,,,,,,,,,,,,48.84843522,,,,,,,,,,,,,,,,,,,,,,,,,,
0756122X,Ecole Elementaire Privée Walt,Ecole,Privé,2 rue Dranem,,75011 PARIS,75011,75111,Paris 11e  Arrondissement,75,1,11,0,1,,,,186700751,,,constance.baudeau@ecolewalt.com,1,0,0,,,,,,,,,,,,,,,,,,48.86542183,,,,,,,,,,,,,,,,,,,,,,,,,,
0756126B,Ecole primaire privée Hattemer,Ecole,Privé,43 rue Decamp,,75016 PARIS,75016,75116,Paris 16e  Arrondissement,75,1,11,1,1,,,,184792999,,,administration16@hattemer.fr,0,0,0,,,,,,,,,,,,,,,,,,48.8632837,,,,,,,,,,,,,,,,,,,,,,,,,,
0756335D,E.P.PR THE BILINGUAL MONTESSORI SCHOOL OF PARIS ORSAY 65 quai d'Orsay,Ecole,Privé,65 quai d'Orsay,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,1,,,,749948393,,,info@montessori-paris.com,0,0,0,,,,,,,,,,,,,,,,,,48.86226264,,,,,,,,,,,,,,,,,,,,,,,,,,
0756398X,E.M.PR LA NOUVELLE ECOLE 26 rue de Martignac,Ecole,Privé,26 rue de Martignac,,75007 PARIS,75007,75107,Paris  7e  Arrondissement,75,1,11,1,0,,,,643916542,,,stephanie@little-wonders.education,0,0,0,,,,,,,,,,,,,,,,,,48.85788459,,,,,,,,,,,,,,,,,,,,,,,,,,
0756399Y,E.M.PR DOUCE MATERNELLE SAUSSURE 122 bis rue de Saussure,Ecole,Privé,122 bis rue de Saussure,,75017 PARIS,75017,75117,Paris 17e  Arrondissement,75,1,11,1,0,,,,661949242,,,annelaure.roussel@doucesmaternelles.com,0,0,0,,,,,,,,,,,,,,,,,,48.88852733,,,,,,,,,,,,,,,,,,,,,,,,,,
0771279X,Ecole primaire privée Saint-Joseph,Ecole,Privé,15 boulevard Charpentier,,77400 LAGNY SUR MARNE,77400,77243,Lagny-sur-Marne,77,24,11,1,1,,,,164301102,,,ce.0771279X@ac-creteil.fr,1,0,0,,,,,,,,,,,,,,,3.27E+13,431,,48.87529993,,,,,,,,,,,,,,,,,,,,,,,,,,
0771282A,Ecole primaire privée Saint-Albert,Ecole,Privé,49 rue Jean Jaurès,,77440 LIZY SUR OURCQ,77440,77257,Lizy-sur-Ourcq,77,24,11,1,1,,,,160017430,,,ce.0771282A@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,7.85E+13,177,,49.02464017,,,,,,,,,,,,,,,,,,,,,,,,,,
0771304Z,Ecole primaire privée Saint-Pierre,Ecole,Privé,Rue de Provins,,77174 VILLENEUVE LE COMTE,77174,77508,Villeneuve-le-Comte,77,24,11,1,1,,,,160432159,,,ce.0771304Z@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,7.76E+13,242,,48.81050268,,,,,,,,,,,,,,,,,,,,,,,,,,
0772741L,Ecole élémentaire privée Oneschool Global Paris Campus,Ecole,Privé,50 rue HENRI BECQUEREL,,77500 CHELLES,77500,77108,Chelles,77,24,11,0,1,,,,164210699,,,ce.0772741L@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,4.39E+13,,,48.89254462,,,,,,,,,,,,,,,,,,,,,,,,,,
0772849D,Ecole maternelle privée Montessori,Ecole,Privé,12 rue GEORGES CLEMENCEAU,,77210 AVON,77210,77014,Avon,77,24,11,1,0,,,,633756164,,,ce.0772849D@ac-creteil.fr,0,0,0,,,,,,,,,,,,,,,,,,48.41436015,,,,,,,,,,,,,,,,,,,,,,,,,,
0780048D,Ecole élémentaire privée Sainte Marie,Ecole,Privé,27 rue Jean Jaurès,,78190 TRAPPES,78190,78621,Trappes,78,25,11,1,1,,,,130629693,,,0780048d@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,48.77612172,,,,,,,,,,,,,,,,,,,,,,,,,,
0780084T,Ecole élémentaire privée Sainte Thérèse,Ecole,Privé,07 quai Boissy d'Anglas,,78380 BOUGIVAL,78380,78092,Bougival,78,25,11,1,1,,,,130781680,,,ce.0780084T@ac-versailles.fr,1,1,0,,,,,,,,,,,,,,,7.85E+13,,,48.86749041,,,,,,,,,,,,,,,,,,,,,,,,,,
0780091A,Ecole élémentaire privée Mercier Saint Paul,Ecole,Privé,72 rue Gambetta,,78250 MEULAN EN YVELINES,78250,78401,Meulan-en-Yvelines,78,25,11,1,1,,,,134928421,,,ce.0780091A@ac-versailles.fr,1,0,1,,,,,,,,,,,,,,,7.85E+13,,,49.00599545,,,,,,,,,,,,,,,,,,,,,,,,,,
0780094D,Ecole élémentaire privée Saint Louis Notre-Dame du Bel Air,Ecole,Privé,Route de Saint-Léger,,78490 MONTFORT L AMAURY,78490,78420,Montfort-l'Amaury,78,25,11,0,1,,,,134860198,,,ce.0780094D@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.77549784,,,,,,,,,,,,,,,,,,,,,,,,,,
0780133W,Ecole élémentaire privée Saint Erembert,Ecole,Privé,05 rue Salomon Reinach,,78100 ST GERMAIN EN LAYE,78100,78551,Saint-Germain-en-Laye,78,25,11,0,1,,,,139215858,,,ce.0780133W@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,3.91E+13,,,48.89599109,,,,,,,,,,,,,,,,,,,,,,,,,,
0782083R,Ecole élémentaire privée Saint Dominique,Ecole,Privé,18 avenue Charles de Gaulle,,78230 LE PECQ,78230,78481,Le Pecq,78,25,11,1,1,,,,139588840,,,ce.0782083R@ac-versailles.fr,0,0,0,,,,,,,,,,,,,,,4.90E+13,,,48.88767917,,,,,,,,,,,,,,,,,,,,,,,,,,
0783528L,Ecole élémentaire privée Mathurin Cordier,Ecole,Privé,12 boulevard de la République,,78440 PORCHEVILLE,78440,78501,Porcheville,78,25,11,1,1,,,,134796029,,,contact@ecolemathurincordier.fr,1,0,0,,,,,,,,,,,,,,,,,,48.97216549,,,,,,,,,,,,,,,,,,,,,,,,,,
0783616G,Ecole élémentaire privée Montessori International les rayons de soleil,Ecole,Privé,34 rue de la Muette,,78600 MAISONS LAFFITTE,78600,78358,Maisons-Laffitte,78,25,11,1,1,,,,608235397,,,aurelieboutboul@hotmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.95141039,,,,,,,,,,,,,,,,,,,,,,,,,,
0783646P,Ecole élémentaire privée Bilingue Montessori NLC 78,Ecole,Privé,25 rue de la Croix Blanche,,78870 BAILLY,78870,78043,Bailly,78,25,11,1,1,,,,664762620,,,sylvie.chedrawi@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.84171347,,,,,,,,,,,,,,,,,,,,,,,,,,
0783660E,Ecole élémentaire privée Montessori Secréts d'Enfance,Ecole,Privé,28 boulevard de l'Europe,,78540 VERNOUILLET,78540,78643,Vernouillet,78,25,11,1,1,,,,139659813,,,cendrine.bathany@secretsdenfance.com,0,0,0,,,,,,,,,,,,,,,,,,48.9728229,,,,,,,,,,,,,,,,,,,,,,,,,,
0783689L,Ecole élémentaire privée Cours Charles Péguy,Ecole,Privé,49 avenue du Général de Gaulle,,78500 SARTROUVILLE,78500,78586,Sartrouville,78,25,11,0,1,,,,768515624,,,secretariat@courscharlespeguy.fr,1,0,0,,,,,,,,,,,,,,,,,,48.94511532,,,,,,,,,,,,,,,,,,,,,,,,,,
0783701Z,Ecole élémentaire privée Montessori Etre et Découvrir,Ecole,Privé,13 bis rue Lecoq,,78860 ST NOM LA BRETECHE,78860,78571,Saint-Nom-la-Bretèche,78,25,11,1,1,,,,695468404,,,etre.et.decouvrir@gmail.com,0,0,0,,,,,,,,,,,,,,,,,,48.86425348,,,,,,,,,,,,,,,,,,,,,,,,,,
0783739R,Ecole élémentaire privée Pilcalli,Ecole,Privé,4 rue Général Leclerc,,78200 BUCHELAY,78200,78118,Buchelay,78,25,11,1,1,,,,,,,ofelia@pilcalli.com,1,0,0,,,,,,,,,,,,,,,,,,48.97936105,,,,,,,,,,,,,,,,,,,,,,,,,,
0783762R,Ecole primaire  privée Suger Bilingue,Ecole,Privé,27 rue Diderot,,78100 ST GERMAIN EN LAYE,78100,78551,Saint-Germain-en-Laye,78,25,11,1,1,,,,134512972,,,accueil@ecole-bilingue-diderot.com,1,0,0,,,,,,,,,,,,,,,,,,48.89221547,,,,,,,,,,,,,,,,,,,,,,,,,,
0783768X,FOREST INTERNATIONAL SCHOOL,Ecole,Privé,28 rue du Tour d'Echelle,,78750 MAREIL MARLY,78750,78367,Mareil-Marly,78,25,11,1,0,,,,139168735,,,info@forest-international-school.com,1,0,0,,,,,,,,,,,,,,,,,,48.87439096,,,,,,,,,,,,,,,,,,,,,,,,,,
0783796C,Ecole maternelle privée cube school saint-germain-en-laye,Ecole,Privé,23 rue FRANKLIN,,78100 ST GERMAIN EN LAYE,78100,78551,Saint-Germain-en-Laye,78,25,11,1,0,,,,749808777,,,HELLO.ST-GERMAIN-EN-LAYE@CUBE-SCHOOL.COM,1,0,0,,,,,,,,,,,,,,,8.89E+13,,,48.90299814,,,,,,,,,,,,,,,,,,,,,,,,,,
0783830P,Ecole élémentaire privée les pastoureaux,Ecole,Privé,33 rue de Chartres,,78610 LE PERRAY EN YVELINES,78610,78486,Le Perray-en-Yvelines,78,25,11,0,1,,,,643333713,,,ecole.lespastoureaux@gmail.fr,0,0,0,,,,,,,,,,,,,,,9.15E+13,,,48.68745087,,,,,,,,,,,,,,,,,,,,,,,,,,
0910892A,Ecole primaire privée Jeanne d'Arc,Ecole,Privé,11 boulevard Henri IV,BP 22,91150 ETAMPES,91150,91223,Etampes,91,25,11,1,1,,,,169161440,,,ce.0910892A@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.43605216,,,,,,,,,,,,,,,,,,,,,,,,,,
0910899H,Ecole primaire privée Sainte Anne,Ecole,Privé,1 rue Leon Renard,,91160 LONGJUMEAU,91160,91345,Longjumeau,91,25,11,1,1,,,,169747070,,,ce.0910899H@ac-versailles.fr,1,0,0,,,,,,,,,,,,,,,7.85E+13,,,48.69043446,,,,,,,,,,,,,,,,,,,,,,,,,,
